hcpc_code_id,short_description,long_description
0009M,Fetal aneuploidy trisom risk,"FETAL ANEUPLOIDY (TRISOMY 21, AND 18) DNA SEQUENCE ANALYSIS OF SELECTED REGIONS USING MATERNAL PLASMA, ALGORITHM REPORTED AS A RISK SCORE FOR EACH TRISOMY"
100,Anesth salivary gland,"ANESTHESIA FOR PROCEDURES ON SALIVARY GLANDS, INCLUDING BIOPSY"
102,Anesth repair of cleft lip,ANESTHESIA FOR PROCEDURES INVOLVING PLASTIC REPAIR OF CLEFT LIP
103,Anesth blepharoplasty,"ANESTHESIA FOR RECONSTRUCTIVE PROCEDURES OF EYELID (EG, BLEPHAROPLASTY, PTOSIS SURGERY)"
104,Anesth electroshock,ANESTHESIA FOR ELECTROCONVULSIVE THERAPY
0010M,Onc prostate prob score,"ONCOLOGY (HIGH-GRADE PROSTATE CANCER), BIOCHEMICAL ASSAY OF FOUR PROTEINS (TOTAL PSA, FREE PSA, INTACT PSA AND HUMAN KALLIDREIN 2 (HK2)) PLUS PATIENT AGE, DIGITAL RECTAL EXAMINATION STATUS, AND NO HISTORY OF POSITIVE PROSTATE BIOPSY, UTILIZING PLASMA, PROGNOSTIC ALGORITHM REPORTED AS A PROBABILITY SCORE"
120,Anesth ear surgery,"ANESTHESIA FOR PROCEDURES ON EXTERNAL, MIDDLE, AND INNER EAR INCLUDING BIOPSY; NOT OTHERWISE SPECIFIED"
124,Anesth ear exam,"ANESTHESIA FOR PROCEDURES ON EXTERNAL, MIDDLE, AND INNER EAR INCLUDING BIOPSY; OTOSCOPY"
126,Anesth tympanotomy,"ANESTHESIA FOR PROCEDURES ON EXTERNAL, MIDDLE, AND INNER EAR INCLUDING BIOPSY; TYMPANOTOMY"
0012F,Cap bacterial assess,COMMUNITY-ACQUIRED BACTERIAL PNEUMONIA ASSESSMENT (INCLUDES ALL OF THE FOLLOWING COMPONENTS) (CAP): CO-MORBID CONDITIONS ASSESSED (1026F) VITAL SIGNS RECORDED (2010F) MENTAL STATUS ASSESSED (2014F) HYDRATION STATUS ASSESSED (2018F)
140,Anesth procedures on eye,ANESTHESIA FOR PROCEDURES ON EYE; NOT OTHERWISE SPECIFIED
142,Anesth lens surgery,ANESTHESIA FOR PROCEDURES ON EYE; LENS SURGERY
144,Anesth corneal transplant,ANESTHESIA FOR PROCEDURES ON EYE; CORNEAL TRANSPLANT
145,Anesth vitreoretinal surg,ANESTHESIA FOR PROCEDURES ON EYE; VITREORETINAL SURGERY
147,Anesth iridectomy,ANESTHESIA FOR PROCEDURES ON EYE; IRIDECTOMY
148,Anesth eye exam,ANESTHESIA FOR PROCEDURES ON EYE; OPHTHALMOSCOPY
0014F,Comp preop assess cat surg,"COMPREHENSIVE PREOPERATIVE ASSESSMENT PERFORMED FOR CATARACT SURGERY WITH INTRAOCULAR LENS (IOL) PLACEMENT (INCLUDES ASSESSMENT OF ALL OF THE FOLLOWING COMPONENTS) (EC): DILATED FUNDUS EVALUATION PERFORMED WITHIN 12 MONTHS PRIOR TO CATARACT SURGERY (2020F) PRE-SURGICAL (CATARACT) AXIAL LENGTH, CORNEAL POWER MEASUREMENT AND METHOD OF INTRAOCULAR LENS POWER CALCULATION DOCUMENTED (MUST BE PERFORMED WITHIN 12 MONTHS PRIOR TO SURGERY) (3073F) PREOPERATIVE ASSESSMENT OF FUNCTIONAL OR MEDICAL INDICATION(S) FOR SURGERY PRIOR TO THE CATARACT SURGERY WITH INTRAOCULAR LENS PLACEMENT (MUST BE PERFORMED WITHIN 12 MONTHS PRIOR TO CATARACT SURGERY) (3325F)"
0015F,Melan follow-up complete,MELANOMA FOLLOW UP COMPLETED (INCLUDES ASSESSMENT OF ALL OF THE FOLLOWING COMPONENTS) (ML): HISTORY OBTAINED REGARDING NEW OR CHANGING MOLES (1050F) COMPLETE PHYSICAL SKIN EXAM PERFORMED (2029F) PATIENT COUNSELED TO PERFORM A MONTHLY SELF SKIN EXAMINATION (5005F)
160,Anesth nose/sinus surgery,ANESTHESIA FOR PROCEDURES ON NOSE AND ACCESSORY SINUSES; NOT OTHERWISE SPECIFIED
162,Anesth nose/sinus surgery,ANESTHESIA FOR PROCEDURES ON NOSE AND ACCESSORY SINUSES; RADICAL SURGERY
164,Anesth biopsy of nose,"ANESTHESIA FOR PROCEDURES ON NOSE AND ACCESSORY SINUSES; BIOPSY, SOFT TISSUE"
170,Anesth procedure on mouth,"ANESTHESIA FOR INTRAORAL PROCEDURES, INCLUDING BIOPSY; NOT OTHERWISE SPECIFIED"
172,Anesth cleft palate repair,"ANESTHESIA FOR INTRAORAL PROCEDURES, INCLUDING BIOPSY; REPAIR OF CLEFT PALATE"
174,Anesth pharyngeal surgery,"ANESTHESIA FOR INTRAORAL PROCEDURES, INCLUDING BIOPSY; EXCISION OF RETROPHARYNGEAL TUMOR"
176,Anesth pharyngeal surgery,"ANESTHESIA FOR INTRAORAL PROCEDURES, INCLUDING BIOPSY; RADICAL SURGERY"
190,Anesth face/skull bone surg,ANESTHESIA FOR PROCEDURES ON FACIAL BONES OR SKULL; NOT OTHERWISE SPECIFIED
192,Anesth facial bone surgery,ANESTHESIA FOR PROCEDURES ON FACIAL BONES OR SKULL; RADICAL SURGERY (INCLUDING PROGNATHISM)
0019T,Extracorp shock wv tx ms nos,"EXTRACORPOREAL SHOCK WAVE INVOLVING MUSCULOSKELETAL SYSTEM, NOT OTHERWISE SPECIFIED, LOW ENERGY"
210,Anesth cranial surg nos,ANESTHESIA FOR INTRACRANIAL PROCEDURES; NOT OTHERWISE SPECIFIED
211,Anesth cran surg hematoma,ANESTHESIA FOR INTRACRANIAL PROCEDURES; CRANIOTOMY OR CRANIECTOMY FOR EVACUATION OF HEMATOMA
211,Anesth cran surg hemotoma,ANESTHESIA FOR INTRACRANIAL PROCEDURES; CRANIOTOMY OR CRANIECTOMY FOR EVACUATION OF HEMATOMA
212,Anesth skull drainage,ANESTHESIA FOR INTRACRANIAL PROCEDURES; SUBDURAL TAPS
214,Anesth skull drainage,"ANESTHESIA FOR INTRACRANIAL PROCEDURES; BURR HOLES, INCLUDING VENTRICULOGRAPHY"
215,Anesth skull repair/fract,"ANESTHESIA FOR INTRACRANIAL PROCEDURES; CRANIOPLASTY OR ELEVATION OF DEPRESSED SKULL FRACTURE, EXTRADURAL (SIMPLE OR COMPOUND)"
216,Anesth head vessel surgery,ANESTHESIA FOR INTRACRANIAL PROCEDURES; VASCULAR PROCEDURES
218,Anesth special head surgery,ANESTHESIA FOR INTRACRANIAL PROCEDURES; PROCEDURES IN SITTING POSITION
220,Anesth intrcrn nerve,ANESTHESIA FOR INTRACRANIAL PROCEDURES; CEREBROSPINAL FLUID SHUNTING PROCEDURES
222,Anesth head nerve surgery,ANESTHESIA FOR INTRACRANIAL PROCEDURES; ELECTROCOAGULATION OF INTRACRANIAL NERVE
300,Anesth head/neck/ptrunk,"ANESTHESIA FOR ALL PROCEDURES ON THE INTEGUMENTARY SYSTEM, MUSCLES AND NERVES OF HEAD, NECK, AND POSTERIOR TRUNK, NOT OTHERWISE SPECIFIED"
320,Anesth neck organ 1yr/>,"ANESTHESIA FOR ALL PROCEDURES ON ESOPHAGUS, THYROID, LARYNX, TRACHEA AND LYMPHATIC SYSTEM OF NECK; NOT OTHERWISE SPECIFIED, AGE 1 YEAR OR OLDER"
322,Anesth biopsy of thyroid,"ANESTHESIA FOR ALL PROCEDURES ON ESOPHAGUS, THYROID, LARYNX, TRACHEA AND LYMPHATIC SYSTEM OF NECK; NEEDLE BIOPSY OF THYROID"
326,Anesth larynx/trach < 1 yr,ANESTHESIA FOR ALL PROCEDURES ON THE LARYNX AND TRACHEA IN CHILDREN YOUNGER THAN 1 YEAR OF AGE
350,Anesth neck vessel surgery,ANESTHESIA FOR PROCEDURES ON MAJOR VESSELS OF NECK; NOT OTHERWISE SPECIFIED
352,Anesth neck vessel surgery,ANESTHESIA FOR PROCEDURES ON MAJOR VESSELS OF NECK; SIMPLE LIGATION
400,Anesth skin ext/per/atrunk,"ANESTHESIA FOR PROCEDURES ON THE INTEGUMENTARY SYSTEM ON THE EXTREMITIES, ANTERIOR TRUNK AND PERINEUM; NOT OTHERWISE SPECIFIED"
402,Anesth surgery of breast,"ANESTHESIA FOR PROCEDURES ON THE INTEGUMENTARY SYSTEM ON THE EXTREMITIES, ANTERIOR TRUNK AND PERINEUM; RECONSTRUCTIVE PROCEDURES ON BREAST (EG, REDUCTION OR AUGMENTATION MAMMOPLASTY, MUSCLE FLAPS)"
404,Anesth surgery of breast,"ANESTHESIA FOR PROCEDURES ON THE INTEGUMENTARY SYSTEM ON THE EXTREMITIES, ANTERIOR TRUNK AND PERINEUM; RADICAL OR MODIFIED RADICAL PROCEDURES ON BREAST"
406,Anesth surgery of breast,"ANESTHESIA FOR PROCEDURES ON THE INTEGUMENTARY SYSTEM ON THE EXTREMITIES, ANTERIOR TRUNK AND PERINEUM; RADICAL OR MODIFIED RADICAL PROCEDURES ON BREAST WITH INTERNAL MAMMARY NODE DISSECTION"
410,Anesth correct heart rhythm,"ANESTHESIA FOR PROCEDURES ON THE INTEGUMENTARY SYSTEM ON THE EXTREMITIES, ANTERIOR TRUNK AND PERINEUM; ELECTRICAL CONVERSION OF ARRHYTHMIAS"
0042T,Ct perfusion w/contrast cbf,"CEREBRAL PERFUSION ANALYSIS USING COMPUTED TOMOGRAPHY WITH CONTRAST ADMINISTRATION, INCLUDING POST-PROCESSING OF PARAMETRIC MAPS WITH DETERMINATION OF CEREBRAL BLOOD FLOW, CEREBRAL BLOOD VOLUME, AND MEAN TRANSIT TIME"
450,Anesth surgery of shoulder,ANESTHESIA FOR PROCEDURES ON CLAVICLE AND SCAPULA; NOT OTHERWISE SPECIFIED
452,Anesth surgery of shoulder,ANESTHESIA FOR PROCEDURES ON CLAVICLE AND SCAPULA; RADICAL SURGERY
454,Anesth collar bone biopsy,ANESTHESIA FOR PROCEDURES ON CLAVICLE AND SCAPULA; BIOPSY OF CLAVICLE
470,Anesth removal of rib,ANESTHESIA FOR PARTIAL RIB RESECTION; NOT OTHERWISE SPECIFIED
472,Anesth chest wall repair,ANESTHESIA FOR PARTIAL RIB RESECTION; THORACOPLASTY (ANY TYPE)
474,Anesth surgery of rib,"ANESTHESIA FOR PARTIAL RIB RESECTION; RADICAL PROCEDURES (EG, PECTUS EXCAVATUM)"
500,Anesth esophageal surgery,ANESTHESIA FOR ALL PROCEDURES ON ESOPHAGUS
0051T,Implant total heart system,IMPLANTATION OF A TOTAL REPLACEMENT HEART SYSTEM (ARTIFICIAL HEART) WITH RECIPIENT CARDIECTOMY
520,Anesth chest procedure,ANESTHESIA FOR CLOSED CHEST PROCEDURES; (INCLUDING BRONCHOSCOPY) NOT OTHERWISE SPECIFIED
522,Anesth chest lining biopsy,ANESTHESIA FOR CLOSED CHEST PROCEDURES; NEEDLE BIOPSY OF PLEURA
524,Anesth chest drainage,ANESTHESIA FOR CLOSED CHEST PROCEDURES; PNEUMOCENTESIS
528,Anes mediascpy & dx thorscpy,ANESTHESIA FOR CLOSED CHEST PROCEDURES; MEDIASTINOSCOPY AND DIAGNOSTIC THORACOSCOPY NOT UTILIZING 1 LUNG VENTILATION
529,Anes medscpy&thorscpy 1 lung,ANESTHESIA FOR CLOSED CHEST PROCEDURES; MEDIASTINOSCOPY AND DIAGNOSTIC THORACOSCOPY UTILIZING 1 LUNG VENTILATION
0052T,Replace thrc unit hrt syst,REPLACEMENT OR REPAIR OF THORACIC UNIT OF A TOTAL REPLACEMENT HEART SYSTEM (ARTIFICIAL HEART)
530,Anesth pacemaker insertion,ANESTHESIA FOR PERMANENT TRANSVENOUS PACEMAKER INSERTION
532,Anesth vascular access,ANESTHESIA FOR ACCESS TO CENTRAL VENOUS CIRCULATION
534,Anesth cardioverter/defib,ANESTHESIA FOR TRANSVENOUS INSERTION OR REPLACEMENT OF PACING CARDIOVERTER-DEFIBRILLATOR
537,Anesth cardiac electrophys,ANESTHESIA FOR CARDIAC ELECTROPHYSIOLOGIC PROCEDURES INCLUDING RADIOFREQUENCY ABLATION
539,Anesth trach-bronch reconst,ANESTHESIA FOR TRACHEOBRONCHIAL RECONSTRUCTION
0053T,Replace implantable hrt syst,"REPLACEMENT OR REPAIR OF IMPLANTABLE COMPONENT OR COMPONENTS OF TOTAL REPLACEMENT HEART SYSTEM (ARTIFICIAL HEART), EXCLUDING THORACIC UNIT"
540,Anesth chest surgery,"ANESTHESIA FOR THORACOTOMY PROCEDURES INVOLVING LUNGS, PLEURA, DIAPHRAGM, AND MEDIASTINUM (INCLUDING SURGICAL THORACOSCOPY); NOT OTHERWISE SPECIFIED"
541,Anesth one lung ventilation,"ANESTHESIA FOR THORACOTOMY PROCEDURES INVOLVING LUNGS, PLEURA, DIAPHRAGM, AND MEDIASTINUM (INCLUDING SURGICAL THORACOSCOPY); UTILIZING 1 LUNG VENTILATION"
542,Anesthesia removal pleura,"ANESTHESIA FOR THORACOTOMY PROCEDURES INVOLVING LUNGS, PLEURA, DIAPHRAGM, AND MEDIASTINUM (INCLUDING SURGICAL THORACOSCOPY); DECORTICATION"
546,Anesth lung chest wall surg,"ANESTHESIA FOR THORACOTOMY PROCEDURES INVOLVING LUNGS, PLEURA, DIAPHRAGM, AND MEDIASTINUM (INCLUDING SURGICAL THORACOSCOPY); PULMONARY RESECTION WITH THORACOPLASTY"
548,Anesth trachea bronchi surg,"ANESTHESIA FOR THORACOTOMY PROCEDURES INVOLVING LUNGS, PLEURA, DIAPHRAGM, AND MEDIASTINUM (INCLUDING SURGICAL THORACOSCOPY); INTRATHORACIC PROCEDURES ON THE TRACHEA AND BRONCHI"
0054T,Bone srgry cmptr fluor image,"COMPUTER-ASSISTED MUSCULOSKELETAL SURGICAL NAVIGATIONAL ORTHOPEDIC PROCEDURE, WITH IMAGE-GUIDANCE BASED ON FLUOROSCOPIC IMAGES (LIST SEPARATELY IN ADDITION TO CODE FOR PRIMARY PROCEDURE)"
550,Anesth sternal debridement,ANESTHESIA FOR STERNAL DEBRIDEMENT
0055T,Bone srgry cmptr ct/mri imag,"COMPUTER-ASSISTED MUSCULOSKELETAL SURGICAL NAVIGATIONAL ORTHOPEDIC PROCEDURE, WITH IMAGE-GUIDANCE BASED ON CT/MRI IMAGES (LIST SEPARATELY IN ADDITION TO CODE FOR PRIMARY PROCEDURE)"
560,Anesth heart surg w/o pump,"ANESTHESIA FOR PROCEDURES ON HEART, PERICARDIAL SAC, AND GREAT VESSELS OF CHEST; WITHOUT PUMP OXYGENATOR"
561,Anesth heart surg <1 yr,"ANESTHESIA FOR PROCEDURES ON HEART, PERICARDIAL SAC, AND GREAT VESSELS OF CHEST; WITH PUMP OXYGENATOR, YOUNGER THAN 1 YEAR OF AGE"
562,Anesth hrt surg w/pmp age 1+,"ANESTHESIA FOR PROCEDURES ON HEART, PERICARDIAL SAC, AND GREAT VESSELS OF CHEST; WITH PUMP OXYGENATOR, AGE 1 YEAR OR OLDER, FOR ALL NON-CORONARY BYPASS PROCEDURES (EG, VALVE PROCEDURES) OR FOR RE-OPERATION FOR CORONARY BYPASS MORE THAN 1 MONTH AFTER ORIGINAL OPERATION"
562,Anesth hrt surg w/pmp age 1+,"ANESTHESIA FOR PROCEDURES ON HEART, PERICARDIAL SAC, AND GREAT VESSELS OF CHEST; WITH PUMP OXYGENATOR, AGE 1 YEAR OR OLDER, FOR ALL NONCORONARY BYPASS PROCEDURES (EG, VALVE PROCEDURES) OR FOR RE-OPERATION FOR CORONARY BYPASS MORE THAN 1 MONTH AFTER ORIGINAL OPERATION"
563,Anesth heart surg w/arrest,"ANESTHESIA FOR PROCEDURES ON HEART, PERICARDIAL SAC, AND GREAT VESSELS OF CHEST; WITH PUMP OXYGENATOR WITH HYPOTHERMIC CIRCULATORY ARREST"
566,Anesth cabg w/o pump,ANESTHESIA FOR DIRECT CORONARY ARTERY BYPASS GRAFTING; WITHOUT PUMP OXYGENATOR
567,Anesth cabg w/pump,ANESTHESIA FOR DIRECT CORONARY ARTERY BYPASS GRAFTING; WITH PUMP OXYGENATOR
580,Anesth heart/lung transplnt,ANESTHESIA FOR HEART TRANSPLANT OR HEART/LUNG TRANSPLANT
0058T,Cryopreservation ovary tiss,"CRYOPRESERVATION; REPRODUCTIVE TISSUE, OVARIAN"
0059T,Cryopreservation oocyte,CRYOPRESERVATION; OOCYTE(S)
600,Anesth spine cord surgery,ANESTHESIA FOR PROCEDURES ON CERVICAL SPINE AND CORD; NOT OTHERWISE SPECIFIED
604,Anesth sitting procedure,ANESTHESIA FOR PROCEDURES ON CERVICAL SPINE AND CORD; PROCEDURES WITH PATIENT IN THE SITTING POSITION
620,Anesth spine cord surgery,ANESTHESIA FOR PROCEDURES ON THORACIC SPINE AND CORD; NOT OTHERWISE SPECIFIED
620,Anesth spine cord surgery,"ANESTHESIA FOR PROCEDURES ON THORACIC SPINE AND CORD, NOT OTHERWISE SPECIFIED"
622,Anesth removal of nerves,ANESTHESIA FOR PROCEDURES ON THORACIC SPINE AND CORD; THORACOLUMBAR SYMPATHECTOMY
625,Anes spine tranthor w/o vent,"ANESTHESIA FOR PROCEDURES ON THE THORACIC SPINE AND CORD, VIA AN ANTERIOR TRANSTHORACIC APPROACH; NOT UTILIZING 1 LUNG VENTILATION"
626,Anes spine transthor w/vent,"ANESTHESIA FOR PROCEDURES ON THE THORACIC SPINE AND CORD, VIA AN ANTERIOR TRANSTHORACIC APPROACH; UTILIZING 1 LUNG VENTILATION"
630,Anesth spine cord surgery,ANESTHESIA FOR PROCEDURES IN LUMBAR REGION; NOT OTHERWISE SPECIFIED
632,Anesth removal of nerves,ANESTHESIA FOR PROCEDURES IN LUMBAR REGION; LUMBAR SYMPATHECTOMY
634,Anesth for chemonucleolysis,ANESTHESIA FOR PROCEDURES IN LUMBAR REGION; CHEMONUCLEOLYSIS
635,Anesth lumbar puncture,ANESTHESIA FOR PROCEDURES IN LUMBAR REGION; DIAGNOSTIC OR THERAPEUTIC LUMBAR PUNCTURE
640,Anesth spine manipulation,"ANESTHESIA FOR MANIPULATION OF THE SPINE OR FOR CLOSED PROCEDURES ON THE CERVICAL, THORACIC OR LUMBAR SPINE"
670,Anesth spine cord surgery,"ANESTHESIA FOR EXTENSIVE SPINE AND SPINAL CORD PROCEDURES (EG, SPINAL INSTRUMENTATION OR VASCULAR PROCEDURES)"
700,Anesth abdominal wall surg,ANESTHESIA FOR PROCEDURES ON UPPER ANTERIOR ABDOMINAL WALL; NOT OTHERWISE SPECIFIED
702,Anesth for liver biopsy,ANESTHESIA FOR PROCEDURES ON UPPER ANTERIOR ABDOMINAL WALL; PERCUTANEOUS LIVER BIOPSY
0071T,U/s leiomyomata ablate <200,"FOCUSED ULTRASOUND ABLATION OF UTERINE LEIOMYOMATA, INCLUDING MR GUIDANCE; TOTAL LEIOMYOMATA VOLUME LESS THAN 200 CC OF TISSUE"
0071T,Us leiomyomata ablate <200,"FOCUSED ULTRASOUND ABLATION OF UTERINE LEIOMYOMATA, INCLUDING MR GUIDANCE; TOTAL LEIOMYOMATA VOLUME LESS THAN 200 CC OF TISSUE"
0072T,U/s leiomyomata ablate >200,"FOCUSED ULTRASOUND ABLATION OF UTERINE LEIOMYOMATA, INCLUDING MR GUIDANCE; TOTAL LEIOMYOMATA VOLUME GREATER OR EQUAL TO 200 CC OF TISSUE"
0072T,Us leiomyomata ablate >200,"FOCUSED ULTRASOUND ABLATION OF UTERINE LEIOMYOMATA, INCLUDING MR GUIDANCE; TOTAL LEIOMYOMATA VOLUME GREATER OR EQUAL TO 200 CC OF TISSUE"
730,Anesth abdominal wall surg,ANESTHESIA FOR PROCEDURES ON UPPER POSTERIOR ABDOMINAL WALL
0073T,Delivery comp imrt,"COMPENSATOR-BASED BEAM MODULATION TREATMENT DELIVERY OF INVERSE PLANNED TREATMENT USING 3 OR MORE HIGH RESOLUTION (MILLED OR CAST) COMPENSATOR CONVERGENT BEAM MODULATED FIELDS, PER TREATMENT SESSION"
740,Anesth upper gi visualize,"ANESTHESIA FOR UPPER GASTROINTESTINAL ENDOSCOPIC PROCEDURES, ENDOSCOPE INTRODUCED PROXIMAL TO DUODENUM"
750,Anesth repair of hernia,ANESTHESIA FOR HERNIA REPAIRS IN UPPER ABDOMEN; NOT OTHERWISE SPECIFIED
752,Anesth repair of hernia,ANESTHESIA FOR HERNIA REPAIRS IN UPPER ABDOMEN; LUMBAR AND VENTRAL (INCISIONAL) HERNIAS AND/OR WOUND DEHISCENCE
754,Anesth repair of hernia,ANESTHESIA FOR HERNIA REPAIRS IN UPPER ABDOMEN; OMPHALOCELE
756,Anesth repair of hernia,ANESTHESIA FOR HERNIA REPAIRS IN UPPER ABDOMEN; TRANSABDOMINAL REPAIR OF DIAPHRAGMATIC HERNIA
0075T,Perq stent/chest vert art,"TRANSCATHETER PLACEMENT OF EXTRACRANIAL VERTEBRAL OR INTRATHORACIC CAROTID ARTERY STENT(S), INCLUDING RADIOLOGIC SUPERVISION AND INTERPRETATION, PERCUTANEOUS; INITIAL VESSEL"
0075T,Perq stent/chest vert art,"TRANSCATHETER PLACEMENT OF EXTRACRANIAL VERTEBRAL ARTERY STENT(S), INCLUDING RADIOLOGIC SUPERVISION AND INTERPRETATION, OPEN OR PERCUTANEOUS; INITIAL VESSEL"
0076T,S&i stent/chest vert art,"TRANSCATHETER PLACEMENT OF EXTRACRANIAL VERTEBRAL OR INTRATHORACIC CAROTID ARTERY STENT(S), INCLUDING RADIOLOGIC SUPERVISION AND INTERPRETATION, PERCUTANEOUS; EACH ADDITIONAL VESSEL (LIST SEPARATELY IN ADDITION TO CODE FOR PRIMARY PROCEDURE)"
0076T,S&i stent/chest vert art,"TRANSCATHETER PLACEMENT OF EXTRACRANIAL VERTEBRAL ARTERY STENT(S), INCLUDING RADIOLOGIC SUPERVISION AND INTERPRETATION, OPEN OR PERCUTANEOUS; EACH ADDITIONAL VESSEL (LIST SEPARATELY IN ADDITION TO CODE FOR PRIMARY PROCEDURE)"
770,Anesth blood vessel repair,ANESTHESIA FOR ALL PROCEDURES ON MAJOR ABDOMINAL BLOOD VESSELS
790,Anesth surg upper abdomen,ANESTHESIA FOR INTRAPERITONEAL PROCEDURES IN UPPER ABDOMEN INCLUDING LAPAROSCOPY; NOT OTHERWISE SPECIFIED
792,Anesth hemorr/excise liver,ANESTHESIA FOR INTRAPERITONEAL PROCEDURES IN UPPER ABDOMEN INCLUDING LAPAROSCOPY; PARTIAL HEPATECTOMY OR MANAGEMENT OF LIVER HEMORRHAGE (EXCLUDING LIVER BIOPSY)
794,Anesth pancreas removal,"ANESTHESIA FOR INTRAPERITONEAL PROCEDURES IN UPPER ABDOMEN INCLUDING LAPAROSCOPY; PANCREATECTOMY, PARTIAL OR TOTAL (EG, WHIPPLE PROCEDURE)"
796,Anesth for liver transplant,ANESTHESIA FOR INTRAPERITONEAL PROCEDURES IN UPPER ABDOMEN INCLUDING LAPAROSCOPY; LIVER TRANSPLANT (RECIPIENT)
797,Anesth surgery for obesity,ANESTHESIA FOR INTRAPERITONEAL PROCEDURES IN UPPER ABDOMEN INCLUDING LAPAROSCOPY; GASTRIC RESTRICTIVE PROCEDURE FOR MORBID OBESITY
800,Anesth abdominal wall surg,ANESTHESIA FOR PROCEDURES ON LOWER ANTERIOR ABDOMINAL WALL; NOT OTHERWISE SPECIFIED
802,Anesth fat layer removal,ANESTHESIA FOR PROCEDURES ON LOWER ANTERIOR ABDOMINAL WALL; PANNICULECTOMY
810,Anesth low intestine scope,"ANESTHESIA FOR LOWER INTESTINAL ENDOSCOPIC PROCEDURES, ENDOSCOPE INTRODUCED DISTAL TO DUODENUM"
820,Anesth abdominal wall surg,ANESTHESIA FOR PROCEDURES ON LOWER POSTERIOR ABDOMINAL WALL
830,Anesth repair of hernia,ANESTHESIA FOR HERNIA REPAIRS IN LOWER ABDOMEN; NOT OTHERWISE SPECIFIED
832,Anesth repair of hernia,ANESTHESIA FOR HERNIA REPAIRS IN LOWER ABDOMEN; VENTRAL AND INCISIONAL HERNIAS
834,Anesth hernia repair < 1 yr,"ANESTHESIA FOR HERNIA REPAIRS IN THE LOWER ABDOMEN NOT OTHERWISE SPECIFIED, YOUNGER THAN 1 YEAR OF AGE"
